Symbol,Metric,DelivRatio,PrevDayRatio,PrevLastHrRatio,10:40
FORCEMOT,FUT OI,,1.017,,1.017
FORCEMOT,CALL VOL,,,,1279
FORCEMOT,CALL OI,,,,3818
FORCEMOT,PUT VOL,,,,848
FORCEMOT,PUT OI,,,,2152
FORTIS,CASH VOL,0.85,0.835,0.303,0.237
FORTIS,FUT VOL,,,,
FORTIS,FUT OI,,1.01,,1.01
FORTIS,CALL VOL,,,,639
FORTIS,CALL OI,,,,1252
FORTIS,PUT VOL,,,,354
FORTIS,PUT OI,,,,1398
GAIL,CASH VOL,0.677,0.613,0.284,1.083
GAIL,FUT VOL,,,,
GAIL,FUT OI,,1.003,,1.003
GAIL,CALL VOL,,,,8244
GAIL,CALL OI,,,,5301
GAIL,PUT VOL,,,,2634
GAIL,PUT OI,,,,3195
GLENMARK,CASH VOL,1.003,0.857,0.276,0.205
GLENMARK,FUT VOL,,,,
GLENMARK,FUT OI,,1.005,,1.005
GLENMARK,CALL VOL,,,,1324
GLENMARK,CALL OI,,,,2963
GLENMARK,PUT VOL,,,,220
GLENMARK,PUT OI,,,,1469
GMRAIRPORT,CASH VOL,1.088,0.822,0.349,0.165
GMRAIRPORT,FUT VOL,,,,
GMRAIRPORT,FUT OI,,1.001,,1.001
GMRAIRPORT,CALL VOL,,,,866
GMRAIRPORT,CALL OI,,,,3850
GMRAIRPORT,PUT VOL,,,,483
GMRAIRPORT,PUT OI,,,,5561
GODFRYPHLP,CASH VOL,0.944,0.811,0.213,0.41
GODFRYPHLP,FUT VOL,,,,
GODFRYPHLP,FUT OI,,1.005,,1.005
GODFRYPHLP,CALL VOL,,,,300
GODFRYPHLP,CALL OI,,,,1475
GODFRYPHLP,PUT VOL,,,,216
GODFRYPHLP,PUT OI,,,,1207
GODREJCP,CASH VOL,0.919,0.179,0.214,0.264
GODREJCP,FUT VOL,,,,
GODREJCP,FUT OI,,1.016,,1.016
GODREJCP,CALL VOL,,,,2407
GODREJCP,CALL OI,,,,5162
GODREJCP,PUT VOL,,,,1191
GODREJCP,PUT OI,,,,6111
GODREJPROP,CASH VOL,0.734,0.232,0.264,0.412
GODREJPROP,FUT VOL,,,,
GODREJPROP,FUT OI,,1.009,,1.009
GODREJPROP,CALL VOL,,,,930
GODREJPROP,CALL OI,,,,1810
GODREJPROP,PUT VOL,,,,877
GODREJPROP,PUT OI,,,,3288
GRASIM,CASH VOL,0.988,0.386,0.299,0.112
GRASIM,FUT VOL,,,,
GRASIM,FUT OI,,1.002,,1.002
GRASIM,CALL VOL,,,,500
GRASIM,CALL OI,,,,3600
GRASIM,PUT VOL,,,,597
GRASIM,PUT OI,,,,2222
GVT&D,CASH VOL,1.118,0.919,0.254,0.138
GVT&D,FUT VOL,,,,
GVT&D,FUT OI,,1.008,,1.008
GVT&D,CALL VOL,,,,2926
GVT&D,CALL OI,,,,8669
GVT&D,PUT VOL,,,,504
GVT&D,PUT OI,,,,4318
HAL,CASH VOL,0.789,3.49,0.14,0.124
HAL,FUT VOL,,,,
